Group;ECV;Product;Frequency;Resolution;RequiredMeasurementuncertainty;Stabilityperdecadeunlessotherwisespecified;StandardsReferences;EntitySatellite;Entityinsitu;;;;
Surface;Precipitation ;Estimates of liquid and solid precipitation;Monthly (resolving diurnal cycles and with statistics of 3 hr values);25km/NA;0.5 mm/h;0.02mm/decade;CMSAF requirements related to the HOAPS release 4.0 (CM-12611);WGClimate;WIGOS;;;;
Surface;Pressure (surface);Pressure;Hourly;Site;0.1hPa;0.02hPa/decade;P.Jones;;WIGOS;;;;
Surface;Surface Radiation Budget;Surface ERB longwave;Monthly(resolving diurnal cycle);100km/NA;Requirements on global mean: 1W/m2;0.2W/m2 /decade;;WGClimate;WIGOS;;;;
Surface;Surface Radiation Budget;Surface ERB shortwave;Monthly(resolving diurnal cycle);100km/NA;Requirements on global mean: 1W/m2;0.2W/m2 /decade;;WGClimate;WIGOS;;;;
Surface;Surface Wind Speed and direction;Surface wind speed and direction;3 hr;10km/NA;0.5m/s and mean quadratic statistics to 10% of the locally prevailing mean wind speed, for speed >20m/s;0.05m/s/decade;For stability: International Vector Winds Science Team Meeting (M.Bourassa);WGClimate;WIGOS;;;;
Surface;Temperature (surface);Temperature ;Hourly;Site;0.1K;0.02K/decade;P.Jones;;WIGOS;;;;
Surface;Temperature (surface);Daily maximum and minimum temperature;Daily Tx/Tn;Site;0.1K;0.02K/decade;P.Jones;;WIGOS;;;;
Surface;Water Vapour (surface);Water vapour;Hourly;Site;"RH 1%; DP 0.1K";"0.5%/decade; 0.02hPA/decade";Kate Willet;;WIGOS;;;;
Upper Atmosphere;Earth Radiation Budget;Top-of-atmosphere ERB longwave;Monthly(resolving diurnal cycle);100km/NA;Requirements on global mean: 1W/m2;0.2 W/m2/decade;NOAA Tech Rep. NESDIS 134;WGClimate;;;;;
Upper Atmosphere;Earth Radiation Budget;Top-of-atmosphere ERB shortwave (reflected);Monthly(resolving diurnal cycle);100km/NA;Requirements on global mean: 1.0 W/m2;0.3W/m2 /decade;NOAA Tech Rep. NESDIS 134;WGClimate;;;;;
Upper Atmosphere;Earth Radiation Budget;Total solar irradiance;Daily;NA/NA;0,04%;0.01%/decade;;WGClimate;;;;;
Upper Atmosphere;Earth Radiation Budget;Solar spectral irradiance;Daily;"Spectral resolution: 1 nm < 290 nm; 2 nm 290-1000 nm; 5 nm 1000-1600 nm; 10 nm 1600-3200 nm; 20 nm 3200-6400 nm; 40 nm 6400-10020  20000 nm spacing up to 160000 nm";0.3%(200-2400nm);1%(200-2400nm)/decade;;WGClimate;WIGOS;;;;
Upper Atmosphere;Lightning;Number of lightnings;1 day;10km;;;MTG EURD[1];WGClimate;WIGOS;;;;
Upper Atmosphere;Temperature (upper-air);Tropospheric Temperature profile;4hr;25km/1km;0.5K;0.05K;;WGClimate;WIGOS;;;;
Upper Atmosphere;Temperature (upper-air);Stratospheric Temperature profile;4hr;100km/2km;0.5K;0.05K;;WGClimate;WIGOS;;;;
Upper Atmosphere;Temperature (upper-air);Temperature of deep atmospheric layers;Monthly averages;100km/5km;0.2K;0.02K;;WGClimate;WIGOS;;;;
Upper Atmosphere;Water Vapour (upper air);Total column-water vapour;4hr;25km/NA;2%;0,30%;;WGClimate;;;;;
Upper Atmosphere;Water Vapour (upper air);Tropospheric profiles of water vapour;4hr (troposphere);25km/2km;5%;0,30%;;WGClimate;;;;;
Upper Atmosphere;Water Vapour (upper air);Lower-stratospheric profiles of water vapour;daily (stratosphere);100-200km/2km;5%;0,30%;;WGClimate;;;;;
Upper Atmosphere;Water Vapour (upper air);Upper tropospheric humidity;1hr;25km/NA;5%;0,30%;;WGClimate;;;;;
Upper Atmosphere;Wind speed and direction (upper-air);Upper-air wind retrievals;1hr;10km/0.5km;"2m/s,20deg;";0.5m/s,5deg;;WGClimate;WIGOS;;;;
Atmospheric Composition;Aerosols properties;Aerosol optical depth;4hr;5-10km/NA/;"Max(0.03;10%)";0.02/decade;ESA CCI CMUG tables (http://www.esa-cmug-cci.org/);WGClimate;;;;;
Atmospheric Composition;Aerosols properties;Single-scattering albedo;4hr;5-10km/NA/;0,03;0,01;;;;;;;
Atmospheric Composition;Aerosols properties;Aerosol-layer height;4hr;5-10km/NA/;1km;0.5km;;WGClimate;;;;;
Atmospheric Composition;Aerosols properties;Aerosol-extinction coeff. Profile near tropopause;weekly;200-500 km/ 1km;10%;20%;;WGClimate;;;;;
Atmospheric Composition;Aerosols properties;Aerosol-extinction coeff. Profile mid stratosphere;weekly;2km;10%;20%;;WGClimate;;;;;
Atmospheric Composition;Carbon Dioxide, Methane and other Greenhouse gases   ;Tropospheric CO2 column;4hr;5-10km/NA;1ppm;1.5ppm/decade;ESA CCI CMUG tables (http://www.esa-cmug-cci.org/);WGClimate;;;;;
Atmospheric Composition;Carbon Dioxide, Methane and other Greenhouse gases   ;Tropospheric CO2;4hr;5-10km/5km;1ppm;1.5ppm;;;GAW;;;;
Atmospheric Composition;Carbon Dioxide, Methane and other Greenhouse gases   ;Tropospheric CH4 column;4hr;5-10km/NA;10ppb;7ppb;;WGClimate;;;;;
Atmospheric Composition;Carbon Dioxide, Methane and other Greenhouse gases   ;Tropospheric  CH4;4hr;5-10km/5km;0.5ppb;0.7ppb;;;GAW;;;;
Atmospheric Composition;Carbon Dioxide, Methane and other Greenhouse gases   ;Stratospheric  CH4;daily;100-200km/2km;5%;0,30%;;;GAW;;;;
Atmospheric Composition;Cloud Properties;Cloud amount;3hr;50km/NA;0.01-0.05;0.01/decade;ESA CCI CMUG tables (http://www.esa-cmug-cci.org/);WGClimate;;;;;
Atmospheric Composition;Cloud Properties;Cloud Top Pressure;3hr;50km/NA;15-50hPa,;3-15hPa;;WGClimate;;;;;
Atmospheric Composition;Cloud Properties;Cloud Top Temperature;3hr;50km/NA;"1-5K;";0.25K/decade;;WGClimate;;;;;
Atmospheric Composition;Cloud Properties;Cloud Optical Depth;3hr;50km/NA;10%;2%;;WGClimate;;;;;
Atmospheric Composition;Cloud Properties;Cloud Water Path(liquid an ice);3hr;50km/NA;"25%;";5%;;;;;;;
Atmospheric Composition;Cloud Properties;C, effective particle radius (liquid + ice);3hr;50km/NA;"1um;";1um/decade;;;;;;;
Atmospheric Composition;Ozone;Total column ozone;4hr;20-50km/NA;"Max(2%;5DU)";1%;;WGClimate;;;;;
Atmospheric Composition;Ozone;Troposphere Ozone;4hr;20-50km/5km;10-15%;2%;;WGClimate;GAW;;;;
Atmospheric Composition;Ozone;Ozone profile in upper and lower stratosphere;4hr;100-200km/1-2km;10%;2%;;WGClimate;;;;;
Atmospheric Composition;Ozone;Ozone profile in upper strato-and mesosphere;daily;100-200km/3km/;5-20%;2%;;WGClimate;;;;;
Atmospheric Composition;Precursors (supporting the Aerosol and Ozone ECVs);NO2 tropospheric column;4hr;5-10km/NA;Max(20%,0.03DU);2%;;WGClimate;;;;;
Atmospheric Composition;Precursors (supporting the Aerosol and Ozone ECVs);SO2,HCHO tropospheric columns;4hr;5-10km/NA;Max(30%,0.04DU);5%;;WGClimate;;;;;
Atmospheric Composition;Precursors (supporting the Aerosol and Ozone ECVs);CO tropospheric column;4hr;5-10km/NA;"Max(20%,20DU);";2%;;WGClimate;;;;;
Atmospheric Composition;Precursors (supporting the Aerosol and Ozone ECVs);CO tropospheric profile;4hr;10km/5km;"20%;";2%;;WGClimate;;;;;
