Group;ECV;Product;Frequency;Resolution;RequiredMeasurementuncertainty;Stabilityperdecadeunlessotherwisespecified;StandardsReferences;EntitySatellite;Entityinsitu;;;;
Biosphere;Above-ground biomass;Maps of AGB;Annual;500m-1km (based on satellite  observations of 100-200m);< 20% error for biomass values > 50 t/ha, and 10 t/ha for biomass values ≤ 50 t/ha;10%;"No agreed standards but see: GOFC-GOLD (2015b); GFOI (2013)";WGClimate;
Biosphere;Albedo;Maps of DHR albedo for adaptation;Daily;50m;"max(5%; 0.0025)";"max(1%; 0.001)";;WGClimate;BSRN
Biosphere;Albedo;Maps of BHR albedo for adaptation;;50m;"max(5%; 0.0025)";"max(1%; 0.001)";;WGClimate;BSRN
Biosphere;Albedo;Maps of DHR albedo for modelling;Daily;200/500m;"max(5%; 0.0025)";"max(1%; 0.001)";;WGClimate;
Biosphere;Albedo;Maps of BHR albedo for modelling;;200/500m;"max(5%; 0.0025)";"max(1%; 0.001)";;WGClimate;
Anthroposphere;Anthropogenic Greenhouse Gas Fluxes;Emissions from fossil fuel use, industry, agriculture and waste sectors.;Annual;By country and sector;"Globally 5%; Nationally 10%";;"IPCC (2006); IPCC (2013)";;TBD[2]
Anthroposphere;Anthropogenic Greenhouse Gas Fluxes;Emissions/ removals by IPCC land categories;Annual;By country/region;"Globally 15%; Nationally 20%";;;;TBD[2]
Anthroposphere;Anthropogenic Greenhouse Gas Fluxes;Estimated fluxes by inversions of observed atmospheric composition - continental;Annual;1000 - 10,000 km;10%;;Maps for modelling and adaptation;WGClimate;TBD[2]
Anthroposphere;Anthropogenic Greenhouse Gas Fluxes;Estimated fluxes by inversions of observed atmospheric composition - national;Annual;100-1000 km;30%;;;WGClimate;TBD[2]
Anthroposphere;Anthropogenic Greenhouse Gas Fluxes;Hi-res CO2 column concentrations to monitor point sources;4 hourly;1 km;1ppm;;;WGClimate;TBD[2]
Anthroposphere;Anthropogenic Water Use;Volume of water per year;Annual;100 km;;;;;AQUASTAT
Biosphere;Fire ;Burnt Areas;24 hours;30m;15% (error of omission and commission), compared to 30 m observations;; None;WGClimate;
